categoria,nome,descricao,tamanho,preco,disponivel,dia
Prato do dia,Frango,"Saladas variadas, arroz, feijão, massa e molho",P,20,sim,segunda
Prato do dia,Frango,"Saladas variadas, arroz, feijão, massa e molho",M,30,sim,segunda
Prato do dia,Frango,"Saladas variadas, arroz, feijão, massa e molho",G,40,sim,segunda
Prato do dia,Gado,"Saladas variadas, arroz, feijão, massa e molho",P,25,sim,segunda
Prato do dia,Gado,"Saladas variadas, arroz, feijão, massa e molho",M,35,sim,segunda
Prato do dia,Gado,"Saladas variadas, arroz, feijão, massa e molho",G,50,sim,segunda
Prato do dia,Peixe,"Saladas variadas, arroz, feijão, massa e molho",P,30,sim,segunda
Prato do dia,Peixe,"Saladas variadas, arroz, feijão, massa e molho",M,45,sim,segunda
Prato do dia,Peixe,"Saladas variadas, arroz, feijão, massa e molho",G,60,sim,segunda
Prato do dia,Frango,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",P,20,sim,terca
Prato do dia,Frango,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",M,30,sim,terca
Prato do dia,Frango,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",G,40,sim,terca
Prato do dia,Gado,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",P,25,sim,terca
Prato do dia,Gado,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",M,35,sim,terca
Prato do dia,Gado,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",G,50,sim,terca
Prato do dia,Peixe,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",P,30,sim,terca
Prato do dia,Peixe,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",M,45,sim,terca
Prato do dia,Peixe,"Saladas variadas, arroz, feijão, batata a vapor ou purê e molho",G,60,sim,terca
Prato do dia,Frango,"Saladas variadas, arroz, feijão, polenta mole e molho",P,20,sim,quarta
Prato do dia,Frango,"Saladas variadas, arroz, feijão, polenta mole e molho",M,30,sim,quarta
Prato do dia,Frango,"Saladas variadas, arroz, feijão, polenta mole e molho",G,40,sim,quarta
Prato do dia,Gado,"Saladas variadas, arroz, feijão, polenta mole e molho",P,25,sim,quarta
Prato do dia,Gado,"Saladas variadas, arroz, feijão, polenta mole e molho",M,35,sim,quarta
Prato do dia,Gado,"Saladas variadas, arroz, feijão, polenta mole e molho",G,50,sim,quarta
Prato do dia,Peixe,"Saladas variadas, arroz, feijão, polenta mole e molho",P,30,sim,quarta
